customer_id,recency,frequency,monetary,recency_score,frequency_score,monetary_score,rfm_score,segment
581895,2701,27,510.46000000000004,1,5,5,155,Can't Loose
606540,3576,1,66.95,1,1,4,114,Hibernating
609074,3574,1,48.8,1,1,3,113,Hibernating
609090,2849,3,163.58,1,5,5,155,Can't Loose
610525,3573,2,105.67,1,4,4,144,At Risk
611731,3571,1,14.76,1,1,1,111,Hibernating
613247,3570,2,29.52,1,4,1,141,At Risk
613415,3570,1,26.86,1,1,1,111,Hibernating
613844,3567,2,332.29999999999995,1,4,5,145,At Risk
614846,3569,1,48.8,1,1,3,113,Hibernating
615494,3532,2,78.08,1,4,4,144,At Risk
616341,3568,1,48.8,1,1,3,113,Hibernating
616431,3568,1,72.4,1,1,4,114,Hibernating
616467,3568,1,14.76,1,1,1,111,Hibernating
617791,3567,1,22.02,1,1,1,111,Hibernating
618247,649,2,68.81,4,4,4,444,Loyal Customers
618659,1700,7,216.64,3,5,5,355,Loyal Customers
618756,3566,1,48.8,1,1,3,113,Hibernating
619733,3565,2,120.88,1,4,5,145,At Risk
619765,2431,2,54.08,2,4,3,243,At Risk
622216,3563,2,29.52,1,4,1,141,At Risk
622397,3563,1,258.85,1,1,5,115,Hibernating
624235,3562,1,14.76,1,1,1,111,Hibernating
624343,3562,1,26.86,1,1,1,111,Hibernating
624821,2457,3,118.66999999999999,2,5,5,255,Can't Loose
624926,3561,1,496.95000000000005,1,1,5,115,Hibernating
624936,3561,1,496.95000000000005,1,1,5,115,Hibernating
625900,3561,1,29.28,1,1,1,111,Hibernating
627768,3183,3,93.27000000000001,1,5,4,154,Can't Loose
628225,3559,1,29.28,1,1,1,111,Hibernating
628334,3559,1,48.8,1,1,3,113,Hibernating
629041,3558,1,14.76,1,1,1,111,Hibernating
629096,3558,1,26.86,1,1,1,111,Hibernating
629533,646,5,214.19,4,5,5,455,Loyal Customers
631503,3186,2,57.57,1,4,3,143,At Risk
631504,2825,2,54.08,1,4,3,143,At Risk
632395,3556,1,48.8,1,1,3,113,Hibernating
632693,3556,1,48.8,1,1,3,113,Hibernating
632816,3165,2,429.45000000000005,1,4,5,145,At Risk
632880,3556,1,163.1,1,1,5,115,Hibernating
633918,603,2,103.11,5,4,4,544,Champions
635915,3529,2,100.02,1,4,4,144,At Risk
636735,2073,3,274.05,2,5,5,255,Can't Loose
637123,3554,1,26.86,1,1,1,111,Hibernating
637724,1017,3,141.5,3,5,5,355,Loyal Customers
637732,3554,1,614.0699999999999,1,1,5,115,Hibernating
638914,1356,2,202.25,3,4,5,345,Loyal Customers
639469,3553,1,45.17,1,1,3,113,Hibernating
639882,2795,2,56.26,1,4,3,143,At Risk
641241,3551,2,53.72,1,4,3,143,At Risk
641537,3551,1,81.55,1,1,4,114,Hibernating
643430,994,3,86.28,4,5,4,454,Loyal Customers
645505,2800,2,239.93,1,4,5,145,At Risk
645972,3536,2,51.3,1,4,3,143,At Risk
646092,2812,2,78.44,1,4,4,144,At Risk
647497,3187,4,128.91,1,5,5,155,Can't Loose
648007,3547,1,155.68,1,1,5,115,Hibernating
648434,1724,3,77.85,3,5,4,354,Loyal Customers
648746,3546,2,68.0,1,4,4,144,At Risk
648811,3545,2,326.2,1,4,5,145,At Risk
649570,3546,1,44.04,1,1,3,113,Hibernating
650823,3545,1,44.04,1,1,3,113,Hibernating
651169,261,4,275.46,5,5,5,555,Champions
651690,1729,3,163.74,3,5,5,355,Loyal Customers
651888,3544,2,44.04,1,4,3,143,At Risk
653505,2849,2,35.730000000000004,1,4,2,142,At Risk
653701,3542,2,83.29,1,4,4,144,At Risk
653900,2075,4,110.35,2,5,4,254,Can't Loose
653908,3542,1,56.22,1,1,3,113,Hibernating
654194,2438,2,159.07,2,4,5,245,At Risk
654408,3542,2,253.25,1,4,5,145,At Risk
654770,3542,1,29.28,1,1,1,111,Hibernating
654946,3542,1,26.86,1,1,1,111,Hibernating
654955,3542,2,122.01,1,4,5,145,At Risk
